repository_path,class,live_candidates,sha256
supabase/migrations/20260705001300_public_routing_views_select_only.sql,BC,20260706004220:public_partner_routing_views_select_only,dec767269b0e74840eb17fe7fe020b282d67262759b44b9b0c8bedc013cc024e
supabase/migrations/20260705001400_platform_visibility_actual_surface_state.sql,BS,20260706074234:make_platform_visibility_reflect_actual_surface_state,fec8408f8b55ccacecfec6428964c42499db6eac386feedcf4a730979973e2b6
supabase/migrations/20260705001400_primary_ecosystem_cta_only.sql,BS,20260706062250:restrict_primary_ecosystem_cta_destinations,07f65d316ae4ff28222004b67d228e626d19d44a1013f466aced912eb02c2131
supabase/migrations/20260705001500_partner_test_record_boundary.sql,BC,20260706062924:partner_test_record_boundary,551aaa5859df0452de928ff5f6507979a87d2e1fe83267c6d2959857b390f52f
supabase/migrations/20260705001600_partner_pillar_suggestions.sql,BC,20260706063040:partner_pillar_suggestions,ae7a27f5d25d6c1f77673389b7491704d7b6ea89323ebd8995b4e7731afd31ed
supabase/migrations/20260705001700_sync_scout_pillar_to_partner.sql,BC,20260706063210:sync_scout_pillar_to_partner,a6e2d41dc22816f0e6a99bf7e725030fdd7b0acb720ad55962a3f1a3725c551b
supabase/migrations/20260706093000_partner_owner_self_service_security.sql,BC,20260706100710:partner_owner_self_service_security,6a98edad712979f967dae1afaa2d39930bb77a1948f1c6c71ee0d9300ff6ac6a
supabase/migrations/20260706122000_partner_profile_change_requests.sql,BC,20260706115730:partner_profile_change_requests,dce8cd60314a004b1d439d52734c45d03897e65e70cb5a36a7328ba6c27b037e
supabase/migrations/20260706143000_partner_media_manager.sql,BC,20260706153232:partner_media_manager,e8b255772b0a08e961fba77aa820a6157aff5cf9dd532843a5843c26138f8c20
supabase/migrations/20260706160000_partner_community_offers.sql,BC,20260706154713:partner_community_offers;20260706165403:community_offer_redemption_tables;20260706165528:community_offer_public_sync;20260706165649:issue_community_offer_redemption_rpc;20260706165749:confirm_community_offer_code_rpc;20260706165857:confirm_community_offer_outcome_rpc;20260706165958:community_offer_first_time_guard,99dacb3fd82946f5213dfbe9071e15cc6aa220e0b1b12e15198e41a01594986b
